EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	12:38:09	4	0.0001	0.16092003850467299	0.10122278332710266	0.8492	0.8492	0.8492	0.8492
2	12:45:42	4	0.0000	0.09280917493553476	0.16559097170829773	0.812	0.812	0.812	0.812
3	12:54:21	4	0.0000	0.04282983338329028	0.19776971638202667	0.8244	0.8244	0.8244	0.8244
4	13:03:59	4	0.0000	0.01875682446337561	0.21382474899291992	0.8388	0.8388	0.8388	0.8388
5	13:12:33	4	0.0000	0.011125030913945245	0.24954485893249512	0.8244	0.8244	0.8244	0.8244
6	13:20:55	4	0.0000	0.010215422009410337	0.27683117985725403	0.845	0.845	0.845	0.845
7	13:30:42	4	0.0000	0.00521633404483092	0.2514711916446686	0.8492	0.8492	0.8492	0.8492
8	13:39:03	4	0.0000	0.0031098107242985384	0.2762506902217865	0.8347	0.8347	0.8347	0.8347
9	13:47:34	4	0.0000	0.0021305255327326777	0.3111065626144409	0.8409	0.8409	0.8409	0.8409
10	13:55:13	4	0.0000	0.0010463994088091922	0.3318708837032318	0.8368	0.8368	0.8368	0.8368
